Gender,PurchasedVIP,Income,Children,Age,Attractiveness,Matches
0,1,51777,3,47,5,70
1,0,36646,0,42,7,130
0,0,53801,1,25,5,0
0,0,56105,0,35,8,0
0,0,55597,1,36,6,0
1,0,60807,0,49,5,110
0,1,58339,0,33,9,70
0,0,54591,1,19,2,0
0,1,49298,0,49,1,70
1,1,33390,0,25,8,140
0,0,54296,0,39,3,0
0,0,52076,0,23,7,0
0,1,52715,0,29,10,70
0,0,37232,0,32,8,0
1,0,39189,2,42,6,120
0,1,60531,1,25,10,70
1,1,49604,1,21,9,150
1,0,56815,0,32,7,130
1,1,50283,3,45,10,160
0,0,50297,0,37,5,0
1,0,59382,0,42,8,140
0,0,44839,1,34,2,0
1,1,50961,0,30,7,130
1,1,45377,0,35,4,100
1,1,45655,1,19,9,150
1,1,46908,2,30,1,70
1,1,52221,1,30,7,130
1,0,45212,2,39,6,120
1,0,62557,3,32,8,140
1,0,41053,0,37,5,110
0,0,48131,0,49,1,0
0,1,45602,0,46,1,70
1,0,64469,1,44,9,150
1,1,51965,1,27,10,160
1,0,60318,3,46,6,120
0,1,35144,2,20,10,70
1,1,52670,1,36,5,110
0,0,58896,0,20,1,0
0,0,50822,2,39,6,0
0,0,60654,3,31,6,0
0,0,44827,2,49,3,0
0,1,64093,0,25,8,70
1,0,72988,1,44,1,70
1,0,46371,0,40,1,70
1,1,45544,0,47,6,120
1,0,64533,0,21,10,160
1,0,65795,1,44,1,70
0,0,44771,1,45,6,0
1,0,45798,0,37,1,70
1,0,47182,0,28,6,120
0,1,36555,1,43,3,70
1,0,40813,0,48,8,140
0,0,39958,0,28,6,0
1,0,42322,1,49,1,70
0,0,49653,2,44,5,0
1,0,52342,0,47,8,140
1,1,65505,0,28,3,90
0,0,40016,0,19,6,0
0,1,59843,3,47,5,70
0,1,47860,1,49,6,70
0,0,49505,1,34,10,0
0,0,56748,0,26,1,0
0,0,38772,1,45,7,0
0,0,53824,0,48,9,0
0,1,51664,1,45,2,70
1,0,54924,3,19,10,160
1,0,52891,1,46,5,110
0,0,74553,2,41,10,0
1,0,43622,2,32,4,100
1,0,44690,0,33,6,120
1,0,43768,3,42,6,120
1,1,44445,0,21,2,80
0,1,43626,1,25,2,70
1,0,61890,0,26,4,100
0,0,64205,0,43,1,0
1,0,44292,1,43,9,150
1,1,41676,0,22,7,130
1,0,54714,1,33,7,130
0,1,44477,1,30,3,70
1,0,56329,0,47,3,90
0,0,52029,0,24,1,0
1,0,34842,1,49,3,90
0,0,65475,0,43,3,0
1,1,67958,2,37,4,100
0,1,43872,1,34,4,70
0,0,46122,2,20,3,0
1,0,52858,1,22,10,160
0,1,53344,1,36,8,70
1,1,56585,1,49,8,140
1,1,70102,0,29,1,70
1,1,48230,0,46,7,130
1,0,42017,2,44,2,80
1,1,36206,1,24,1,70
1,0,42690,2,45,3,90
1,1,49668,2,26,4,100
1,1,67945,2,48,6,120
1,1,44823,3,45,10,160
1,1,52237,1,23,5,110
1,1,49835,0,46,4,100
0,0,61883,1,43,8,0
0,0,75269,0,34,4,0
1,1,44691,1,33,10,160
1,1,45105,2,40,2,80
1,0,60441,1,48,3,90
1,1,56818,0,20,6,120
1,1,68467,0,38,8,140
1,0,55839,1,49,8,140
1,1,46407,0,43,9,150
1,1,55906,2,21,7,130
0,0,61087,0,27,2,0
1,0,58204,0,22,8,140
0,0,55072,0,38,7,0
1,1,60666,1,39,8,140
1,0,61692,1,47,3,90
0,0,63821,0,27,7,0
1,0,56487,0,29,10,160
0,0,48328,1,27,9,0
1,0,51467,0,46,3,90
1,0,62065,1,30,10,160
0,1,41830,1,28,6,70
1,1,53686,0,39,2,80
0,0,46066,0,33,2,0
1,0,50287,3,25,5,110
0,0,62784,1,25,5,0
0,1,51910,1,44,7,70
1,1,50464,0,42,2,80
1,1,36401,1,25,7,130
0,1,57462,0,30,5,70
1,1,56454,1,44,6,120
1,1,71632,3,19,8,140
1,1,46922,0,47,10,160
0,1,52191,0,47,4,70
0,1,52493,0,29,7,70
0,0,65774,0,27,6,0
0,0,49047,0,29,10,0
0,0,52790,0,28,2,0
0,0,56078,2,32,8,0
0,1,51866,1,33,10,70
0,1,45535,0,34,9,70
0,0,51940,3,43,5,0
1,1,60736,0,19,10,160
0,0,39734,3,35,4,0
1,1,51329,0,29,6,120
1,0,42998,2,36,8,140
1,1,61950,1,43,3,90
0,1,34768,2,40,10,70
0,0,44410,3,35,1,0
0,1,53772,0,47,4,70
0,0,65655,3,49,4,0
1,0,49342,0,34,1,70
0,0,44448,0,49,9,0
0,0,68811,0,47,3,0
0,1,35519,1,23,5,70
0,1,28011,0,42,6,70
0,1,54400,1,32,8,70
1,0,44979,1,20,6,120
0,1,39787,2,23,3,70
1,0,57083,2,20,6,120
0,1,52438,1,47,1,70
1,1,44359,0,46,4,100
0,1,37196,0,18,6,70
0,0,58724,0,47,7,0
1,1,56502,0,30,10,160
1,1,49008,0,49,3,90
1,0,68466,0,45,9,150
0,1,39299,3,38,7,70
1,0,34744,1,43,1,70
0,1,43080,0,31,2,70
0,0,49544,1,30,1,0
1,0,52433,0,44,9,150
1,1,47587,1,21,9,150
0,0,53520,1,24,7,0
0,0,37484,1,39,10,0
1,0,64437,1,27,3,90
1,0,49178,3,24,5,110
1,0,61172,2,38,4,100
0,0,53427,1,32,7,0
0,1,54567,1,32,9,70
0,0,55697,1,21,2,0
0,0,54477,0,49,8,0
0,1,56427,0,40,9,70
0,1,63291,0,40,10,70
1,1,51965,1,23,10,160
0,1,57090,1,41,9,70
0,1,49102,0,37,10,70
0,1,64401,3,43,7,70
1,1,43236,3,22,9,150
0,0,68009,2,37,9,0
0,0,49598,1,29,3,0
1,1,35692,2,18,4,100
0,0,51281,0,45,2,0
0,0,43189,2,25,10,0
0,0,58406,0,18,3,0
0,1,43473,2,22,5,70
0,1,45538,0,48,5,70
1,0,31104,2,39,6,120
1,1,45476,3,23,7,130
1,0,25761,0,46,7,130
0,0,34160,1,38,1,0
0,0,57604,3,49,2,0
0,0,57858,1,20,9,0
1,1,54254,2,32,10,160
0,1,40330,1,22,2,70
0,1,49522,0,45,6,70
1,0,49963,0,41,1,70
0,1,38416,0,31,3,70
1,0,65033,2,35,2,80
1,1,58773,0,33,3,90
1,0,47790,1,23,5,110
0,0,50268,1,42,10,0
0,0,52083,1,41,6,0
0,1,29582,2,31,9,70
0,1,47528,3,44,10,70
0,1,43180,1,41,4,70
0,1,39983,2,25,7,70
0,0,47188,2,48,6,0
1,1,67976,1,46,2,80
0,1,56408,3,24,10,70
1,0,44288,0,25,8,140
0,0,55725,0,30,7,0
0,0,63993,2,23,7,0
0,1,59246,1,35,8,70
1,0,50596,2,19,1,70
1,0,43530,2,25,1,70
1,0,56982,0,28,8,140
1,1,53934,2,18,4,100
0,0,58951,1,39,5,0
1,1,56351,1,46,8,140
0,1,60495,1,49,5,70
0,0,44647,3,23,10,0
1,0,63173,0,33,4,100
1,1,51975,1,44,6,120
1,0,70752,1,37,5,110
1,0,43108,2,29,7,130
1,1,67359,1,28,10,160
1,1,51979,0,46,7,130
1,0,43485,0,48,4,100
1,1,45161,0,44,5,110
0,0,46796,2,49,3,0
1,0,54241,0,46,4,100
1,0,55228,0,27,4,100
0,1,44262,3,20,3,70
1,0,49756,0,30,10,160
0,0,71422,3,44,5,0
0,0,67275,1,20,5,0
1,1,54363,2,48,7,130
0,1,50380,0,32,4,70
0,1,51200,0,33,4,70
0,1,56135,2,46,9,70
0,1,39772,2,30,6,70
1,0,47426,2,34,4,100
0,1,33314,0,20,2,70
1,1,53992,2,37,6,120
0,1,56471,2,28,2,70
0,0,45168,1,44,5,0
0,1,65739,2,38,6,70
0,1,37742,2,36,4,70
1,0,35356,1,39,3,90
1,1,52244,0,28,7,130
0,0,60470,1,47,2,0
0,0,66839,0,48,6,0
1,0,45411,1,45,4,100
0,0,60786,1,33,6,0
0,0,49614,0,38,4,0
0,1,48273,0,20,4,70
1,0,58836,0,39,4,100
1,0,56523,2,23,9,150
1,1,34236,3,48,7,130
0,0,64765,0,31,3,0
0,1,63800,3,41,3,70
1,1,43744,1,35,6,120
1,1,53958,0,34,6,120
1,0,54940,0,49,4,100
1,0,52606,1,21,9,150
0,0,44496,2,49,4,0
1,1,43283,2,40,9,150
0,0,49744,0,32,4,0
1,0,61727,0,49,2,80
0,0,55436,1,28,2,0
1,1,46293,0,43,5,110
1,1,57716,0,20,4,100
1,0,21514,0,20,7,130
1,0,61487,2,33,5,110
0,0,32602,3,22,6,0
1,0,46375,1,38,10,160
0,1,38803,3,46,4,70
0,1,37053,0,27,2,70
0,1,61608,1,36,10,70
0,1,45322,0,42,9,70
1,0,53465,1,21,10,160
0,0,49530,3,46,7,0
0,0,54770,1,46,4,0
0,1,50768,0,48,3,70
1,0,37170,1,36,10,160
1,1,59962,0,28,3,90
1,1,45062,2,19,9,150
1,0,34434,1,27,5,110
0,0,45718,1,46,3,0
0,0,65007,1,28,5,0
1,1,58502,1,42,2,80
0,0,46513,0,37,4,0
0,1,46507,1,33,10,70
0,0,46783,0,36,2,0
1,1,70767,2,40,2,80
1,1,53819,2,41,8,140
0,0,54300,2,28,1,0
1,1,60302,1,31,7,130
1,1,52387,1,19,5,110
1,0,47409,0,40,8,140
1,1,48036,2,45,1,70
1,0,49283,0,22,7,130
0,1,49627,1,48,5,70
1,0,57276,0,44,4,100
0,0,50519,0,22,7,0
0,1,57326,1,36,10,70
1,1,49192,0,38,2,80
0,1,50786,2,29,1,70
0,1,30017,0,35,1,70
0,1,59163,0,21,1,70
1,0,53464,1,39,5,110
1,1,59980,0,34,10,160
0,0,21037,0,27,7,0
1,0,70883,2,37,2,80
1,1,48604,0,23,10,160
1,0,61081,2,42,8,140
1,0,39600,0,31,4,100
0,0,56127,0,28,3,0
0,0,39465,2,49,10,0
1,1,43762,0,28,8,140
1,0,69140,0,46,2,80
0,1,48093,0,35,3,70
0,1,52174,0,44,3,70
1,0,58700,2,40,10,160
0,1,54956,0,39,1,70
1,1,51504,2,35,6,120
1,1,53649,2,41,2,80
0,0,74034,1,40,1,0
0,1,49423,3,28,2,70
1,1,52010,0,38,6,120
1,1,60506,3,29,4,100
0,0,61055,0,22,6,0
1,1,61870,1,40,9,150
0,0,56387,1,26,10,0
1,0,38569,0,44,10,160
0,0,66334,1,48,8,0
0,0,38536,2,42,1,0
0,0,53026,0,26,8,0
1,0,42457,0,39,9,150
1,1,49358,2,27,6,120
0,0,53287,1,39,10,0
1,1,53213,3,36,5,110
0,1,54219,2,18,6,70
0,0,66137,3,49,6,0
1,1,54535,2,24,9,150
1,1,47558,0,21,4,100
0,1,59640,0,18,2,70
1,1,61894,2,32,9,150
1,0,37723,1,25,2,80
0,1,55974,0,29,10,70
0,0,57011,0,39,9,0
1,1,47024,3,39,2,80
0,1,63757,1,35,8,70
0,0,48499,1,32,9,0
1,1,51255,1,34,10,160
0,1,48269,0,46,9,70
0,1,50155,0,31,10,70
1,0,39037,0,31,9,150
1,1,35599,0,35,2,80
0,0,65945,2,37,4,0
0,1,41530,1,35,7,70
1,0,40086,2,33,2,80
1,0,28466,2,18,1,70
1,1,43610,0,40,3,90
1,1,36769,1,44,4,100
0,0,66420,1,28,8,0
1,0,60098,2,32,6,120
1,1,43118,0,29,2,80
0,0,72524,1,25,9,0
1,1,59817,1,39,2,80
0,1,46751,0,37,5,70
1,1,25005,0,47,4,100
1,1,72909,1,23,7,130
1,0,36104,2,20,8,140
0,1,33546,0,45,5,70
0,0,60225,1,41,10,0
1,1,74397,0,43,5,110
0,0,63842,2,47,2,0
0,1,55639,0,30,8,70
0,0,55947,2,30,2,0
0,0,58534,0,19,10,0
0,1,57589,0,22,6,70
0,1,52811,0,34,8,70
1,1,51042,0,23,6,120
1,1,49374,1,19,4,100
0,0,42460,0,21,4,0
1,1,47193,2,39,6,120
1,0,33070,0,43,4,100
1,0,49016,0,28,8,140
1,1,40114,0,25,9,150
0,0,38964,0,29,1,0
1,0,51798,0,25,4,100
1,0,63920,1,28,4,100
0,0,59183,1,39,2,0
0,1,34294,1,37,6,70
1,1,40103,1,25,3,90
1,1,59407,1,46,7,130
1,1,40175,0,25,5,110
1,0,47753,1,43,4,100
1,0,55500,3,47,5,110
1,1,40316,1,34,8,140
0,1,51053,1,49,3,70
1,1,36659,0,37,7,130
1,0,43986,2,37,6,120
0,1,53197,2,40,1,70
0,1,34070,1,33,7,70
0,1,54404,3,31,7,70
0,0,49803,0,47,1,0
1,0,55524,0,28,9,150
1,0,52239,2,24,6,120
1,0,63641,2,33,2,80
1,0,51252,0,30,5,110
1,0,45705,0,44,4,100
1,0,51222,0,32,7,130
0,0,55432,0,41,8,0
1,1,50488,2,33,1,70
0,1,50405,1,44,5,70
0,0,42980,0,38,3,0
1,0,43370,0,40,1,70
0,1,35973,0,41,3,70
1,0,67495,0,49,6,120
0,0,37561,1,48,7,0
1,0,43070,3,26,8,140
0,1,42815,2,20,4,70
1,1,58949,0,36,3,90
1,1,47050,2,37,5,110
1,1,62477,2,22,9,150
1,1,43265,2,27,6,120
1,0,52789,1,34,9,150
0,1,41646,0,32,6,70
0,0,71451,0,48,2,0
0,0,38124,0,40,5,0
1,1,53098,0,42,9,150
0,1,56337,0,25,8,70
1,0,54137,1,32,7,130
1,0,48147,2,48,1,70
0,0,48701,1,38,4,0
0,1,50438,0,47,7,70
1,1,48529,3,31,7,130
0,1,59638,3,37,6,70
1,1,72105,2,45,8,140
1,1,44425,3,24,6,120
1,0,36301,1,38,10,160
1,1,49117,3,40,3,90
1,0,75797,0,29,4,100
0,0,41963,0,34,3,0
0,0,66391,0,34,1,0
1,1,66777,0,49,10,160
1,1,44464,0,27,5,110
0,1,55689,1,47,1,70
0,0,66283,2,46,1,0
1,0,46208,1,36,2,80
0,0,47964,0,31,4,0
1,0,44183,2,28,6,120
0,0,39852,1,19,8,0
1,0,43507,0,35,3,90
0,1,37760,1,24,1,70
1,1,50340,0,29,3,90
0,1,42300,0,43,3,70
0,1,52337,3,19,5,70
1,0,34441,0,44,4,100
0,0,53308,1,37,4,0
1,1,58335,2,35,9,150
0,0,30062,2,23,7,0
1,1,53740,0,41,4,100
0,1,62276,0,27,3,70
1,1,37903,0,49,6,120
0,0,66725,1,37,3,0
1,1,54190,1,32,6,120
0,1,42949,0,22,9,70
1,1,49442,3,37,6,120
1,0,55583,1,20,4,100
1,0,50760,0,22,5,110
0,1,55387,1,47,6,70
1,0,40793,1,42,3,90
0,0,51693,0,25,8,0
1,0,35862,0,25,4,100
0,0,48887,2,25,8,0
1,0,40960,1,29,10,160
0,0,42644,1,41,10,0
0,0,62360,1,40,3,0
1,0,60913,0,25,10,160
0,0,56091,0,28,7,0
0,0,39076,1,31,9,0
1,1,46835,0,49,4,100
0,1,62130,0,25,8,70
0,0,51417,2,46,3,0
0,1,73193,3,47,7,70
1,1,53933,2,41,3,90
