Gender,PurchasedVIP,Income,Children,Age,Attractiveness,Matches
0,0,51920,2,45,7,0
1,0,46908,0,27,10,160
0,0,51335,3,24,10,0
0,1,48475,0,45,6,70
0,1,57081,3,34,2,70
1,0,59567,3,21,3,90
0,0,42140,2,46,6,0
0,0,36687,3,30,4,0
1,1,31637,1,49,6,120
0,1,55079,0,21,1,70
1,1,38966,1,22,10,160
1,1,28471,1,43,1,70
0,0,53885,0,39,3,0
1,0,74929,1,21,8,140
0,0,49939,3,48,8,0
1,0,58384,0,35,4,100
1,1,50818,2,49,6,120
0,1,49011,3,23,8,70
1,0,59190,3,48,7,130
1,0,47097,3,41,7,130
1,1,52673,1,48,4,100
1,0,53216,3,41,9,150
1,1,43319,2,40,10,160
0,0,59920,0,39,6,0
1,0,48250,1,19,3,90
0,0,42442,2,48,5,0
1,0,55365,0,40,5,110
0,0,41015,1,28,5,0
0,0,50281,1,45,8,0
1,0,49908,0,31,9,150
1,1,60858,1,49,9,150
1,1,54746,2,47,6,120
0,1,49749,1,22,6,70
1,1,58177,0,49,9,150
0,1,63902,0,23,4,70
0,0,55578,0,27,6,0
0,0,50103,3,25,4,0
1,1,36881,0,49,1,70
1,0,39348,1,31,7,130
0,1,46947,0,41,10,70
0,1,43904,0,20,6,70
1,0,48130,2,29,9,150
0,0,50566,2,33,7,0
1,0,55296,0,45,7,130
0,1,49295,1,47,2,70
1,0,54865,0,40,9,150
0,1,50644,1,34,10,70
1,1,30245,1,18,9,150
0,1,40606,0,40,6,70
1,0,48559,0,48,3,90
1,0,37903,0,48,1,70
0,1,55999,3,27,4,70
0,0,65307,3,42,3,0
1,0,62187,0,40,1,70
0,0,47865,2,27,3,0
1,1,64907,0,38,4,100
0,1,51486,0,41,8,70
1,0,46629,2,19,9,150
1,1,43865,3,26,3,90
1,0,46975,3,39,6,120
1,0,46118,1,30,10,160
1,0,51704,0,42,5,110
1,0,51605,2,33,6,120
0,1,50030,0,35,4,70
0,1,54369,1,36,10,70
0,1,61906,0,29,6,70
1,0,59495,1,25,7,130
1,0,35151,0,34,9,150
1,0,24460,0,32,10,160
1,1,59343,3,27,7,130
0,0,36331,0,32,6,0
0,1,47752,1,32,1,70
1,1,38298,0,48,2,80
0,1,31980,0,40,1,70
0,1,55414,0,24,9,70
1,1,57591,0,30,10,160
0,1,44234,2,34,10,70
1,0,24089,0,49,9,150
0,0,44537,3,26,7,0
1,1,53918,1,25,2,80
1,1,35210,1,37,6,120
1,0,51833,1,43,4,100
1,1,49846,1,44,1,70
0,1,55792,2,38,1,70
1,0,51195,0,35,5,110
1,1,40269,0,30,2,80
1,1,61965,2,33,4,100
0,1,48414,3,26,1,70
1,0,49726,2,48,4,100
0,0,40667,1,29,6,0
1,0,45567,2,29,10,160
0,1,41151,1,23,4,70
0,1,48270,1,36,1,70
1,0,67117,0,45,7,130
0,1,36280,1,24,2,70
1,1,33864,0,42,9,150
1,1,64711,0,20,3,90
1,1,47906,2,33,8,140
0,1,43309,0,35,8,70
0,0,60399,0,33,3,0
1,1,43943,0,40,4,100
1,0,68260,3,24,2,80
0,1,56779,1,21,4,70
1,0,45120,1,44,9,150
1,1,71573,2,42,2,80
1,0,43942,2,49,3,90
0,1,57420,0,47,4,70
0,0,52992,1,25,5,0
0,1,63017,2,30,1,70
1,0,65615,1,30,7,130
1,1,50320,0,34,10,160
1,0,42465,2,34,7,130
0,0,54599,1,22,9,0
1,1,43222,0,23,4,100
1,1,70133,1,36,6,120
1,0,51365,0,30,2,80
1,1,46346,0,42,4,100
0,0,51846,2,45,2,0
0,0,36528,0,43,10,0
1,0,40283,1,31,5,110
0,1,62004,1,48,7,70
0,0,43431,0,39,1,0
1,0,39530,3,21,10,160
1,1,55366,0,45,10,160
0,1,61857,0,24,7,70
1,1,57189,0,25,10,160
0,1,59960,0,42,6,70
1,0,42432,0,30,6,120
0,0,35781,2,49,8,0
1,0,65013,3,44,8,140
0,0,46773,0,23,6,0
0,1,47491,1,48,3,70
0,0,63281,2,23,5,0
1,0,55562,2,41,2,80
0,1,54558,1,45,5,70
0,0,71650,0,38,9,0
1,0,43564,0,47,10,160
1,0,59278,2,20,1,70
0,0,50570,2,45,10,0
0,0,52685,0,20,5,0
1,0,65284,0,30,6,120
1,1,55078,3,39,7,130
1,1,55382,2,19,9,150
1,0,60725,3,33,6,120
1,0,46350,2,39,5,110
0,1,41607,0,49,7,70
1,0,39551,1,46,1,70
0,0,30336,1,23,5,0
0,0,70562,0,25,2,0
0,1,38967,1,40,4,70
1,0,47787,2,25,7,130
0,1,47231,0,47,5,70
0,0,53074,2,42,6,0
1,1,58157,1,23,2,80
0,1,58604,3,31,3,70
0,0,44169,0,49,7,0
1,1,48328,0,20,2,80
0,0,52825,1,27,6,0
0,1,47513,0,20,5,70
0,0,66073,2,49,10,0
1,0,54909,2,44,1,70
1,1,57348,0,29,10,160
1,0,56628,1,34,4,100
0,0,61734,1,44,2,0
0,1,51810,0,48,4,70
1,0,37031,3,46,1,70
0,0,53996,2,48,2,0
0,1,43486,1,22,8,70
1,1,44713,2,47,6,120
1,0,55863,1,37,2,80
0,0,62382,3,42,6,0
0,1,50212,1,48,10,70
0,1,53088,2,26,9,70
1,0,67022,2,48,7,130
1,1,52407,0,47,9,150
1,0,76016,2,38,5,110
1,0,55655,0,43,7,130
0,0,32392,0,37,7,0
1,0,57533,0,24,3,90
1,0,53811,3,48,7,130
1,1,62897,2,39,1,70
1,1,56731,2,21,9,150
1,1,48615,2,30,10,160
0,1,37757,1,30,6,70
0,0,47909,3,48,5,0
1,0,41494,1,27,7,130
0,0,44194,0,35,5,0
1,0,55885,0,34,10,160
1,1,66699,2,37,5,110
0,0,53946,2,37,10,0
0,0,38041,0,30,7,0
1,1,54446,0,34,10,160
1,1,61966,2,39,7,130
1,1,43902,0,21,3,90
0,1,48659,2,18,3,70
1,0,50146,3,18,10,160
1,0,42151,1,32,3,90
1,1,56482,0,30,6,120
0,0,48790,2,34,6,0
1,0,54195,2,41,3,90
1,0,41125,1,43,3,90
0,1,45625,3,25,8,70
1,0,57223,0,35,8,140
1,1,46271,1,44,7,130
0,0,67269,2,30,10,0
1,0,46003,2,40,4,100
0,0,52246,0,31,4,0
0,1,59325,2,25,3,70
1,0,35816,1,25,5,110
1,1,32391,0,44,3,90
1,1,34743,0,43,8,140
1,1,62625,2,32,7,130
0,0,44481,0,44,3,0
1,0,75581,0,30,9,150
0,0,44357,0,24,5,0
1,0,51845,2,22,9,150
1,1,65421,1,34,7,130
1,1,70060,2,45,7,130
0,1,70615,0,42,6,70
1,0,62083,1,46,2,80
1,1,60240,1,33,9,150
1,0,55925,2,40,6,120
1,1,57783,3,19,8,140
0,0,44488,0,39,1,0
1,0,41818,1,35,5,110
0,1,49966,0,48,1,70
0,1,48298,1,34,10,70
0,1,45467,0,47,8,70
0,1,56963,0,24,8,70
0,0,59553,0,30,1,0
0,1,50884,1,49,9,70
1,1,64775,0,35,2,80
0,1,38583,2,46,9,70
0,0,48063,1,31,1,0
0,0,42831,0,47,10,0
1,1,31334,2,35,9,150
1,0,49173,0,30,4,100
0,1,48782,1,28,9,70
1,0,65134,1,38,7,130
0,0,56308,0,47,6,0
0,0,39758,0,38,5,0
1,0,68540,0,33,9,150
0,1,62210,3,40,2,70
1,1,55820,1,34,2,80
1,1,47735,1,25,9,150
0,0,40405,1,36,3,0
0,1,46277,0,37,8,70
1,1,60887,1,32,9,150
0,1,68845,2,26,8,70
0,0,65432,0,37,4,0
0,0,45111,0,27,1,0
1,0,38803,0,29,4,100
1,1,51408,1,48,9,150
0,1,32315,3,38,2,70
1,1,53231,0,40,3,90
1,0,48523,1,49,10,160
1,0,45339,0,37,8,140
1,1,34052,3,47,6,120
1,0,55136,0,18,8,140
0,0,44672,1,42,7,0
0,0,38300,2,37,5,0
0,0,21277,2,26,9,0
1,1,49724,1,39,4,100
1,0,67722,0,32,6,120
0,0,66612,0,18,2,0
1,0,45429,0,29,2,80
0,0,43977,0,20,2,0
0,1,54687,1,28,10,70
0,1,40016,0,19,7,70
1,0,53017,0,33,2,80
1,0,57660,1,26,2,80
0,0,62269,3,49,9,0
0,0,48998,1,32,7,0
0,0,47963,0,29,3,0
0,0,41220,0,18,3,0
1,1,41731,3,30,7,130
1,0,47735,0,31,5,110
0,1,53673,0,42,10,70
0,1,59135,1,42,6,70
1,0,41968,1,25,8,140
1,1,64926,1,25,9,150
0,1,47288,0,44,1,70
0,1,49786,0,47,3,70
0,1,42527,3,29,7,70
1,1,25757,0,18,6,120
1,1,58840,1,28,7,130
1,0,57368,2,25,8,140
0,1,47186,1,27,6,70
0,1,50669,0,47,3,70
1,1,55159,0,36,2,80
1,0,34374,1,28,7,130
0,1,44709,2,24,1,70
1,0,57942,3,28,3,90
1,1,37457,0,48,4,100
0,0,52935,0,34,1,0
1,0,36434,3,18,5,110
0,1,54664,2,49,10,70
0,1,49643,2,43,3,70
0,0,33848,0,46,2,0
0,1,61647,1,38,3,70
0,0,42654,2,38,8,0
0,0,41897,1,25,6,0
0,0,52005,1,40,7,0
1,0,61486,0,41,6,120
0,0,39841,1,23,6,0
0,1,50616,0,39,3,70
1,0,54288,1,35,8,140
1,0,56931,3,23,7,130
1,1,51764,0,22,7,130
0,0,46329,2,30,6,0
1,1,41724,0,49,5,110
0,1,50861,1,36,10,70
0,1,39278,3,39,8,70
0,0,20786,0,25,5,0
0,0,54365,0,26,9,0
1,0,59039,1,34,9,150
1,1,26370,0,20,1,70
0,0,39902,2,36,6,0
0,1,56191,3,28,7,70
0,0,70574,1,41,3,0
1,1,50207,0,34,7,130
0,0,42719,1,38,7,0
0,0,48171,2,36,2,0
1,0,63748,0,19,7,130
1,1,43540,1,48,1,70
0,1,42008,1,25,5,70
1,0,45172,1,36,9,150
1,0,40466,0,24,7,130
0,1,51226,2,45,7,70
1,1,66246,0,44,2,80
0,1,53230,0,34,8,70
1,0,47476,2,23,3,90
0,1,47081,2,36,8,70
0,0,34368,0,41,3,0
0,1,58831,0,23,10,70
1,0,49221,0,45,7,130
0,1,48195,0,19,2,70
1,1,81931,0,23,4,100
0,1,52987,0,40,6,70
0,1,42482,1,22,9,70
1,1,45736,2,36,5,110
0,0,61484,1,37,9,0
0,1,51132,1,21,5,70
1,1,35617,0,39,10,160
0,1,59192,3,43,8,70
0,0,43318,2,34,1,0
0,1,68732,2,28,7,70
0,0,60800,2,21,4,0
1,1,45526,3,43,5,110
1,1,62810,1,30,6,120
0,0,50678,0,37,5,0
1,1,58527,1,43,1,70
0,0,54847,2,49,9,0
1,0,41536,2,34,2,80
0,1,43564,1,26,9,70
0,0,60299,0,21,10,0
0,1,46652,0,40,2,70
0,1,45963,3,45,9,70
0,0,40448,1,31,6,0
0,0,54235,1,36,9,0
1,0,70625,0,43,6,120
0,0,39324,0,45,6,0
1,1,50242,2,20,2,80
0,1,64122,1,31,8,70
1,0,49203,2,25,3,90
1,1,54523,1,41,7,130
1,1,39376,1,44,5,110
0,1,54283,0,45,3,70
0,1,48128,2,18,1,70
1,0,59857,1,27,8,140
0,0,61873,1,35,3,0
1,1,75895,1,33,2,80
0,0,55796,3,25,1,0
1,0,53257,0,18,4,100
1,0,51943,2,48,8,140
0,1,46468,0,29,3,70
1,1,53384,1,25,1,70
0,1,47045,0,41,4,70
1,0,51684,0,33,9,150
1,1,63175,1,35,1,70
0,1,39934,0,21,2,70
0,0,61398,1,23,9,0
0,1,63171,3,29,2,70
1,1,48819,0,44,3,90
0,0,28781,2,26,7,0
1,0,43921,1,32,3,90
1,0,62969,1,33,9,150
0,1,49771,0,41,6,70
0,1,40006,0,29,3,70
1,1,44952,0,48,9,150
1,0,58406,0,41,1,70
0,0,55467,0,40,10,0
0,1,47610,1,31,3,70
0,1,46331,2,30,1,70
0,0,46082,2,42,2,0
0,0,40775,1,48,8,0
1,0,66153,0,19,7,130
1,0,46776,0,20,2,80
1,1,62171,0,43,2,80
1,0,65213,0,41,9,150
0,1,59983,1,47,6,70
0,1,45683,1,39,5,70
0,1,54037,0,27,10,70
1,0,49758,0,26,6,120
1,0,40962,2,43,9,150
0,0,53243,2,37,7,0
0,0,38209,0,49,10,0
1,1,61876,3,25,10,160
1,0,45353,3,27,9,150
0,0,52011,0,36,4,0
0,1,52832,0,20,2,70
1,0,47410,1,41,8,140
0,1,55866,3,22,4,70
0,1,45250,2,20,9,70
0,1,58712,0,43,4,70
1,1,36540,0,44,8,140
1,1,51263,1,33,9,150
1,1,69389,1,34,9,150
1,1,39996,0,32,10,160
1,1,43222,2,20,4,100
1,0,55139,1,29,1,70
1,0,51795,2,26,3,90
0,0,53506,2,38,9,0
0,0,54891,2,29,4,0
0,1,56347,1,43,5,70
0,0,61096,1,32,7,0
0,1,54098,0,19,5,70
0,0,47587,1,40,4,0
0,0,56725,0,48,2,0
1,0,68998,1,35,2,80
1,1,48673,0,37,4,100
0,0,40254,0,29,10,0
0,1,61070,0,40,10,70
1,1,48796,0,21,9,150
0,0,28273,2,40,8,0
0,0,58474,2,33,3,0
1,0,44646,1,40,9,150
0,1,49094,0,33,5,70
1,0,53319,0,18,3,90
0,1,51904,0,39,5,70
1,1,57094,0,42,10,160
1,0,45645,2,19,4,100
1,0,55131,0,47,8,140
0,1,47404,0,20,5,70
1,1,57388,0,43,10,160
0,1,56153,0,38,8,70
0,0,40645,1,42,9,0
0,1,60859,1,37,4,70
0,0,44640,0,34,7,0
1,1,58080,0,37,2,80
1,1,53672,0,39,6,120
0,0,68381,0,38,8,0
0,1,47765,0,47,7,70
1,0,46506,3,46,7,130
0,0,49805,1,18,8,0
1,1,46968,1,37,7,130
0,0,57999,1,23,5,0
0,0,33836,1,46,7,0
1,1,39463,1,32,10,160
0,0,39321,1,43,3,0
1,0,59503,2,43,5,110
0,0,67106,0,31,7,0
0,1,48955,1,37,9,70
0,0,48311,1,32,2,0
1,1,50700,2,31,4,100
0,1,61618,1,42,7,70
0,0,40726,1,38,1,0
0,0,52383,0,41,2,0
0,0,59751,1,42,9,0
1,1,55010,0,43,10,160
1,0,51895,0,22,7,130
0,0,60010,0,23,10,0
1,0,22967,1,34,7,130
0,0,56778,0,28,6,0
0,0,43459,0,33,3,0
0,1,31693,2,29,10,70
1,1,55112,0,32,3,90
1,0,63736,1,40,2,80
1,0,48625,1,21,6,120
1,0,59528,0,44,4,100
1,0,66122,2,35,5,110
1,1,63149,0,38,3,90
1,0,66399,1,45,6,120
1,1,57421,1,20,3,90
1,1,50754,1,39,8,140
0,0,33980,1,25,9,0
1,1,47539,0,40,4,100
1,1,41567,0,49,9,150
1,1,71709,2,20,7,130
1,1,48241,1,25,3,90
1,0,51232,2,35,7,130
1,0,55514,2,27,1,70
1,1,50436,2,42,3,90
1,0,66950,1,37,6,120
1,0,43773,0,34,4,100
1,0,51946,2,25,7,130
1,0,42575,1,40,3,90
0,0,36799,0,28,1,0
0,1,43882,2,46,9,70
1,0,49629,2,49,6,120
1,0,45706,1,22,8,140
0,0,43075,0,43,3,0
